Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
id,Indicador único del cliente,✓,✓,✓
target_mes,Variable Objetivo que se busca predecir,✓,✓,✓
std_VAR30_sum_34M,Desviacion Estandar de VAR30_sum en los últimos 34 meses,✓, ,✓
max_VAR12_sum_12M,Maximo valor de VAR12_sum en los últimos 12 meses,✓,✓,✓
max_VAR23_trx_34M,Maximo valor de VAR23_trx en los últimos 34 meses,✓, ,✓
mean_VAR23_prom_9M,Media de VAR23_prom en los últimos 9 meses,✓, ,✓
mean_VAR16_sum_34M,Media de VAR16_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR1_sum_VAR22_sum,Ratio entre VAR1_sum y VAR22_sum en el último mes,✓, ,✓
ratio_VAR24_trx_VAR25_trx,Ratio entre VAR24_trx y VAR25_trx en el último mes,✓, ,✓
max_VAR23_prom_12M,Maximo valor de VAR23_prom en los últimos 12 meses,✓, ,✓
std_VAR5_prom_18M,Desviacion Estandar de VAR5_prom en los últimos 18 meses,✓, ,✓
max_VAR3_trx_18M,Maximo valor de VAR3_trx en los últimos 18 meses,✓, ,✓
max_VAR3_trx_34M,Maximo valor de VAR3_trx en los últimos 34 meses,✓, ,✓
ratio_VAR24_sum_VAR9_sum,Ratio entre VAR24_sum y VAR9_sum en el último mes,✓, ,✓
std_VAR23_sum_34M,Desviacion Estandar de VAR23_sum en los últimos 34 meses,✓, ,✓
ratio_VAR4_sum_VAR22_sum,Ratio entre VAR4_sum y VAR22_sum en el último mes,✓, ,✓
ratio_VAR23_sum_VAR27_sum,Ratio entre VAR23_sum y VAR27_sum en el último mes,✓, ,✓
max_VAR11_sum_34M,Maximo valor de VAR11_sum en los últimos 34 meses,✓, ,✓
ratio_VAR1_trx_VAR3_trx,Ratio entre VAR1_trx y VAR3_trx en el último mes,✓, ,✓
mean_VAR3_sum_12M,Media de VAR3_sum en los últimos 12 meses,✓,✓,✓
min_VAR25_sum_34M,Minimo valor de VAR25_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR5_trx_VAR28_trx,Ratio entre VAR5_trx y VAR28_trx en el último mes,✓, ,✓
mean_VAR25_prom_9M,Media de VAR25_prom en los últimos 9 meses,✓, ,✓
mean_VAR11_sum_34M,Media de VAR11_sum en los últimos 34 meses,✓, ,✓
ratio_VAR5_sum_VAR26_trx,Ratio entre VAR5_sum y VAR26_trx en el último mes,✓, ,✓
mean_VAR23_trx_18M,Media de VAR23_trx en los últimos 18 meses,✓, ,✓
min_VAR4_trx_34M,Minimo valor de VAR4_trx en los últimos 34 meses,✓, ,✓
max_VAR30_sum_18M,Maximo valor de VAR30_sum en los últimos 18 meses,✓, ,✓
FLG_COVID,Flag Covid entre los meses de 202004 y 202008,✓,✓,✓
min_VAR25_trx_34M,Minimo valor de VAR25_trx en los últimos 34 meses,✓, ,✓
ratio_VAR1_sum_VAR19_sum,Ratio entre VAR1_sum y VAR19_sum en el último mes,✓, ,✓
count_nan,Cantidad de Valores nulos en las variables numéricas,✓,✓,✓
categoria_tipo_cat,"Combinacion de Variable categóricas: tipo_cat, categoria, tipo_cat",✓, ,✓
mean_VAR16_sum_18M,Media de VAR16_sum en los últimos 18 meses,✓,✓,✓
mean_VAR6_trx_34M,Media de VAR6_trx en los últimos 34 meses,✓, ,✓
min_VAR25_prom_9M,Minimo valor de VAR25_prom en los últimos 9 meses,✓, ,✓
mean_VAR30_sum_34M,Media de VAR30_sum en los últimos 34 meses,✓, ,✓
std_VAR4_trx_12M,Desviacion Estandar de VAR4_trx en los últimos 12 meses,✓, ,✓
min_VAR4_sum_2M,Minimo valor de VAR4_sum en los últimos 2 meses,✓, ,✓
ratio_VAR1_trx_VAR25_trx,Ratio entre VAR1_trx y VAR25_trx en el último mes,✓, ,✓
max_VAR23_sum_12M,Maximo valor de VAR23_sum en los últimos 12 meses,✓,✓,✓
ratio_VAR23_sum_VAR8_trx,Ratio entre VAR23_sum y VAR8_trx en el último mes,✓, ,✓
VAR5_sum,Variable VAR5_sum,✓,✓,✓
ratio_VAR1_sum_VAR24_sum,Ratio entre VAR1_sum y VAR24_sum en el último mes,✓, ,✓
max_VAR5_prom_12M,Maximo valor de VAR5_prom en los últimos 12 meses,✓, ,✓
min_VAR23_prom_12M,Minimo valor de VAR23_prom en los últimos 12 meses,✓, ,✓
std_VAR11_sum_2M,Desviacion Estandar de VAR11_sum en los últimos 2 meses,✓, ,✓
ratio_VAR2_sum_VAR1_trx,Ratio entre VAR2_sum y VAR1_trx en el último mes,✓, ,✓
mean_VAR5_prom_18M,Media de VAR5_prom en los últimos 18 meses,✓, ,✓
tipo_ban_categoria_tipo_cli,"Combinacion de Variable categóricas: tipo_ban, categoria, tipo_cli",✓, ,✓
max_VAR2_trx_34M,Maximo valor de VAR2_trx en los últimos 34 meses,✓, ,✓
max_VAR12_sum_34M,Maximo valor de VAR12_sum en los últimos 34 meses,✓,✓,✓
mean_VAR7_prom_34M,Media de VAR7_prom en los últimos 34 meses,✓, ,✓
std_VAR1_trx_18M,Desviacion Estandar de VAR1_trx en los últimos 18 meses,✓, ,✓
ratio_VAR3_sum_VAR24_trx,Ratio entre VAR3_sum y VAR24_trx en el último mes,✓, ,✓
min_VAR4_trx_12M,Minimo valor de VAR4_trx en los últimos 12 meses,✓, ,✓
min_VAR1_sum_3M,Minimo valor de VAR1_sum en los últimos 3 meses,✓,✓,✓
mean_VAR4_trx_3M,Media de VAR4_trx en los últimos 3 meses,✓, ,✓
ratio_VAR4_sum_VAR28_trx,Ratio entre VAR4_sum y VAR28_trx en el último mes,✓, ,✓
